"threshold_probability","threshold_value","threshold_percent","mean_excess","number_exceedances"
0.9,0.011953861818558,1.1953861818558,0.0095697002001769,841
0.905,0.012444404434863,1.2444404434863,0.00957113850834988,799
0.91,0.0128535166634146,1.28535166634146,0.00968205166065783,757
0.915,0.0134554789004901,1.34554789004901,0.00963390254983622,715
0.92,0.0139944663898124,1.39944663898124,0.00967813750319108,673
0.925,0.0145276049256936,1.45276049256936,0.00977356350450484,631
0.93,0.015090866171697,1.5090866171697,0.0098883400972991,589
0.935,0.0159655987126612,1.59655987126612,0.00973891124343052,547
0.94,0.0165616962095304,1.65616962095304,0.00993132732083577,505
0.945,0.0172507429191132,1.72507429191132,0.0101104141159075,463
0.95,0.0181928910686664,1.81928910686664,0.0101283773436944,421
0.955,0.0192071773699853,1.92071773699853,0.010186730603582,379
0.96,0.0202188554932532,2.02188554932532,0.0103866625680074,337
0.965,0.021278797075067,2.1278797075067,0.0107370796845255,295
0.97,0.02259945556272,2.259945556272,0.0110916230813934,253
0.975,0.0242236454923804,2.42236454923804,0.0115351372133417,211
0.98,0.0260195085961223,2.60195085961223,0.0123943789234923,169
0.985,0.029048371922011,2.9048371922011,0.0130502461281032,127
0.99,0.0325384939550125,3.25384939550125,0.0152857566980153,85
0.995,0.0430180493660786,4.30180493660786,0.0159443258590816,43
