"model","volatility_state","volatility_quantile","z_vol","mu_hat","sigma_hat","xi_hat","return_period_years","return_level_decimal","return_level_percent"
"volatility-dependent location + scale point process","low volatility",0.25,-0.718101421221494,0.0258498733476648,0.0082655095761938,0.0445153313722023,1,0.0258498733476648,2.58498733476648
"volatility-dependent location + scale point process","low volatility",0.25,-0.718101421221494,0.0258498733476648,0.0082655095761938,0.0445153313722023,5,0.039640823272664,3.9640823272664
"volatility-dependent location + scale point process","low volatility",0.25,-0.718101421221494,0.0258498733476648,0.0082655095761938,0.0445153313722023,10,0.0458915056183428,4.58915056183428
"volatility-dependent location + scale point process","low volatility",0.25,-0.718101421221494,0.0258498733476648,0.0082655095761938,0.0445153313722023,20,0.0523380633899514,5.23380633899514
"volatility-dependent location + scale point process","low volatility",0.25,-0.718101421221494,0.0258498733476648,0.0082655095761938,0.0445153313722023,50,0.0611710186400234,6.11710186400234
"volatility-dependent location + scale point process","low volatility",0.25,-0.718101421221494,0.0258498733476648,0.0082655095761938,0.0445153313722023,100,0.068096385116923,6.8096385116923
"volatility-dependent location + scale point process","median volatility",0.5,-0.0716589282434275,0.0349135709073098,0.0091989755731785,0.0445153313722023,1,0.0349135709073098,3.49135709073098
"volatility-dependent location + scale point process","median volatility",0.5,-0.0716589282434275,0.0349135709073098,0.0091989755731785,0.0445153313722023,5,0.0502620028849803,5.02620028849803
"volatility-dependent location + scale point process","median volatility",0.5,-0.0716589282434275,0.0349135709073098,0.0091989755731785,0.0445153313722023,10,0.0572186065503137,5.72186065503137
"volatility-dependent location + scale point process","median volatility",0.5,-0.0716589282434275,0.0349135709073098,0.0091989755731785,0.0445153313722023,20,0.0643932068487528,6.43932068487528
"volatility-dependent location + scale point process","median volatility",0.5,-0.0716589282434275,0.0349135709073098,0.0091989755731785,0.0445153313722023,50,0.0742237126191918,7.42237126191918
"volatility-dependent location + scale point process","median volatility",0.5,-0.0716589282434275,0.0349135709073098,0.0091989755731785,0.0445153313722023,100,0.0819311959230396,8.19311959230396
"volatility-dependent location + scale point process","high volatility",0.75,0.657464307260888,0.0451365258678914,0.0103789362207222,0.0445153313722023,1,0.0451365258678914,4.51365258678914
"volatility-dependent location + scale point process","high volatility",0.75,0.657464307260888,0.0451365258678914,0.0103789362207222,0.0445153313722023,5,0.0624537146479996,6.24537146479996
"volatility-dependent location + scale point process","high volatility",0.75,0.657464307260888,0.0451365258678914,0.0103789362207222,0.0445153313722023,10,0.0703026479537752,7.03026479537752
"volatility-dependent location + scale point process","high volatility",0.75,0.657464307260888,0.0451365258678914,0.0103789362207222,0.0445153313722023,20,0.0783975405115717,7.83975405115717
"volatility-dependent location + scale point process","high volatility",0.75,0.657464307260888,0.0451365258678914,0.0103789362207222,0.0445153313722023,50,0.0894890138606604,8.94890138606604
"volatility-dependent location + scale point process","high volatility",0.75,0.657464307260888,0.0451365258678914,0.0103789362207222,0.0445153313722023,100,0.0981851427933386,9.81851427933386
"volatility-dependent location + scale point process","crisis volatility",0.9,1.30156990639059,0.0541674581014623,0.0115466150364286,0.0445153313722023,1,0.0541674581014623,5.41674581014623
"volatility-dependent location + scale point process","crisis volatility",0.9,1.30156990639059,0.0541674581014623,0.0115466150364286,0.0445153313722023,5,0.0734329115260482,7.34329115260482
"volatility-dependent location + scale point process","crisis volatility",0.9,1.30156990639059,0.0541674581014623,0.0115466150364286,0.0445153313722023,10,0.0821648864993069,8.21648864993069
"volatility-dependent location + scale point process","crisis volatility",0.9,1.30156990639059,0.0541674581014623,0.0115466150364286,0.0445153313722023,20,0.0911704922895718,9.11704922895718
"volatility-dependent location + scale point process","crisis volatility",0.9,1.30156990639059,0.0541674581014623,0.0115466150364286,0.0445153313722023,50,0.103509808210315,10.3509808210315
"volatility-dependent location + scale point process","crisis volatility",0.9,1.30156990639059,0.0541674581014623,0.0115466150364286,0.0445153313722023,100,0.11318429227664,11.318429227664
"volatility-dependent location + scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0590814479809243,0.0122362643544905,0.0445153313722023,1,0.0590814479809243,5.90814479809243
"volatility-dependent location + scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0590814479809243,0.0122362643544905,0.0445153313722023,5,0.0794975768869825,7.94975768869825
"volatility-dependent location + scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0590814479809243,0.0122362643544905,0.0445153313722023,10,0.0887510900397546,8.87510900397546
"volatility-dependent location + scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0590814479809243,0.0122362643544905,0.0445153313722023,20,0.0982945772673409,9.82945772673409
"volatility-dependent location + scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0590814479809243,0.0122362643544905,0.0445153313722023,50,0.111370888470532,11.1370888470532
"volatility-dependent location + scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0590814479809243,0.0122362643544905,0.0445153313722023,100,0.121623204335865,12.1623204335865
