"pair","quantile_level","x_threshold","y_threshold","x_threshold_percent","y_threshold_percent","p_x_exceed","p_y_exceed","p_joint_exceed","independence_prediction","joint_to_independence_ratio","p_y_extreme_given_x_extreme","p_x_extreme_given_y_extreme","conditional_coexceedance","n_joint_exceedances"
"spy_qqq",0.9,0.0117494994907401,0.0153368923097008,1.17494994907401,1.53368923097008,0.100099767209844,0.100099767209844,0.075324243431992,0.0100199633954649,7.51741702630214,0.75249169435216,0.75249169435216,0.75249169435216,453
"spy_qqq",0.95,0.0177540268613054,0.0224540843714407,1.77540268613054,2.24540843714407,0.0500498836049219,0.0500498836049219,0.0360824742268041,0.00250499084886623,14.4042339488527,0.720930232558139,0.720930232558139,0.720930232558139,217
"spy_qqq",0.975,0.0243862185019047,0.0294847473353475,2.43862185019047,2.94847473353475,0.0251080811439973,0.0251080811439973,0.0171267043565015,0.000630415738733555,27.1673172229288,0.682119205298013,0.682119205298013,0.682119205298013,103
"spy_qqq",0.99,0.0343534954016116,0.0393693550325356,3.43534954016116,3.93693550325356,0.0101429996674426,0.0101429996674426,0.00681742600598603,0.000102880442253741,66.2655200214996,0.672131147540984,0.672131147540984,0.672131147540984,41
"spy_tlt",0.9,0.0117494994907401,0.0106258494180765,1.17494994907401,1.06258494180765,0.100099767209844,0.100099767209844,0.00931160625207848,0.0100199633954649,0.92930541605501,0.0930232558139535,0.0930232558139535,0.0930232558139535,56
"spy_tlt",0.95,0.0177540268613054,0.0145718506902115,1.77540268613054,1.45718506902115,0.0500498836049219,0.0500498836049219,0.00249418024609245,0.00250499084886623,0.995684374344654,0.0498338870431894,0.0498338870431894,0.0498338870431894,15
"spy_tlt",0.975,0.0243862185019047,0.0180231686739803,2.43862185019047,1.80231686739803,0.0251080811439973,0.0251080811439973,0.00099767209843698,0.000630415738733555,1.58256216832595,0.0397350993377483,0.0397350993377483,0.0397350993377483,6
"spy_tlt",0.99,0.0343534954016116,0.0229385319441926,3.43534954016116,2.29385319441926,0.0101429996674426,0.0101429996674426,0.00083139341536415,0.000102880442253741,8.08116097823166,0.0819672131147541,0.0819672131147541,0.0819672131147541,5
"spy_vix",0.9,0.0117494994907401,0.0801664331537133,1.17494994907401,8.01664331537133,0.100099767209844,0.100099767209844,0.0613568340538743,0.0100199633954649,6.12345890221962,0.612956810631229,0.612956810631229,0.612956810631229,369
"spy_vix",0.95,0.0177540268613054,0.121053241702325,1.77540268613054,12.1053241702325,0.0500498836049219,0.0500498836049219,0.0262720319255072,0.00250499084886623,10.4878754097637,0.524916943521595,0.524916943521595,0.524916943521595,158
"spy_vix",0.975,0.0243862185019047,0.163192946001003,2.43862185019047,16.3192946001003,0.0251080811439973,0.0251080811439973,0.0106418357166611,0.000630415738733555,16.8806631288101,0.423841059602649,0.423841059602649,0.423841059602649,64
"spy_vix",0.99,0.0343534954016116,0.225139893993322,3.43534954016116,22.5139893993322,0.0101429996674426,0.0101429996674426,0.0033255736614566,0.000102880442253741,32.3246439129266,0.327868852459016,0.327868852459016,0.327868852459016,20
