"structure_variable","return_period_years","return_level_decimal","return_level_percent"
"max_SPY_QQQ",1,0.0535040122085312,5.35040122085312
"max_SPY_QQQ",5,0.0792963284016792,7.92963284016792
"max_SPY_QQQ",10,0.0923474285490392,9.23474285490392
"min_SPY_QQQ",1,0.0429275240637334,4.29275240637334
"min_SPY_QQQ",5,0.0682379334161033,6.82379334161033
"min_SPY_QQQ",10,0.0823301892935393,8.23301892935393
"max_SPY_TLT",1,0.0485006478318581,4.85006478318581
"max_SPY_TLT",5,0.0801826499374628,8.01826499374627
"max_SPY_TLT",10,0.098885540606345,9.8885540606345
"min_SPY_TLT",1,0.0145575178350567,1.45575178350567
"min_SPY_TLT",5,0.0244948897200451,2.44948897200451
"min_SPY_TLT",10,0.0303204183855856,3.03204183855856
"max_SPY_VIX",1,0.306723203041134,30.6723203041134
"max_SPY_VIX",5,0.464765526299895,46.4765526299895
"max_SPY_VIX",10,0.544163884266997,54.4163884266997
"min_SPY_VIX",1,0.0463927513612611,4.63927513612611
"min_SPY_VIX",5,0.0785318723672104,7.85318723672104
"min_SPY_VIX",10,0.0977232977393324,9.77232977393324
