"pair","u","joint_survival","single_survival","chi","chi_bar","n_joint"
"spy_qqq",0.8,0.158131027602261,0.2,0.790655138011307,0.745280700445488,951
"spy_qqq",0.805,0.153807781842368,0.195,0.788757855601886,0.746485724733866,925
"spy_qqq",0.81,0.14865314266711,0.19,0.782384961405843,0.742507439591529,894
"spy_qqq",0.815,0.144662454273362,0.185,0.781959212288444,0.745568651055792,870
"spy_qqq",0.82,0.141170601928833,0.18,0.784281121826849,0.751772944389555,849
"spy_qqq",0.825,0.136348520119721,0.175,0.779134400684118,0.749494022643059,820
"spy_qqq",0.83,0.131858995676754,0.17,0.775641151039731,0.749197903886894,793
"spy_qqq",0.835,0.127203192550715,0.165,0.770928439701303,0.747659001852016,765
"spy_qqq",0.84,0.122879946790821,0.16,0.767999667442634,0.748189834879601,739
"spy_qqq",0.845,0.119720651812438,0.155,0.772391302015727,0.756652500631548,720
"spy_qqq",0.85,0.115397406052544,0.15,0.769316040350294,0.75710229848494,694
"spy_qqq",0.855,0.111739275024942,0.145,0.770615689827185,0.762212968295395,672
"spy_qqq",0.86,0.108579980046558,0.14,0.775571286046844,0.771058853181729,653
"spy_qqq",0.865,0.10458929165281,0.135,0.774735493724519,0.773900862354397,629
"spy_qqq",0.87,0.100432324575989,0.13,0.772556342892226,0.775439607868724,604
"spy_qqq",0.875,0.0967741935483871,0.125,0.774193548387097,0.780820310774245,582
"spy_qqq",0.88,0.0931160625207848,0.12,0.775967187673207,0.786305971699637,560
"spy_qqq",0.885,0.0894579314931826,0.115,0.777895056462457,0.791909672069927,538
"spy_qqq",0.89,0.0844695710009977,0.11,0.767905190918161,0.786280764986715,508
"spy_qqq",0.895,0.0813102760226139,0.105,0.774383581167752,0.796222601962663,489
"spy_qqq",0.9,0.0751579647489192,0.1,0.751579647489192,0.779319872472533,452
"spy_qqq",0.905,0.0700033255736615,0.095,0.7368771113017,0.770357473082551,421
"spy_qqq",0.91,0.0660126371799135,0.09,0.733473746443484,0.771910343753591,397
"spy_qqq",0.915,0.0625207848353841,0.085,0.735538645122166,0.778409949676882,376
"spy_qqq",0.92,0.0585300964416362,0.08,0.731626205520453,0.779801295498573,352
"spy_qqq",0.925,0.0545394080478883,0.075,0.727192107305177,0.780967332226812,328
"spy_qqq",0.93,0.049883604921849,0.07,0.712622927454986,0.7739854936234,300
"spy_qqq",0.935,0.0457266378450283,0.065,0.703486736077359,0.771994949564131,275
"spy_qqq",0.94,0.042068506817426,0.0599999999999999,0.701141780290434,0.775887579257527,253
"spy_qqq",0.945,0.0390754905221151,0.0549999999999999,0.710463464038457,0.789136113987007,235
"spy_qqq",0.95,0.0360824742268041,0.0499999999999999,0.721649484536083,0.803599733968603,217
"spy_qqq",0.955,0.0325906218822747,0.0449999999999999,0.724236041828328,0.811528450704822,196
"spy_qqq",0.96,0.0290987695377453,0.0399999999999999,0.727469238443633,0.820085822878708,175
"spy_qqq",0.965,0.0249418024609245,0.0349999999999999,0.712622927454988,0.816427217316422,150
"spy_qqq",0.97,0.0209511140671766,0.0299999999999999,0.698370468905888,0.814254473735605,126
"spy_qqq",0.975,0.0169604256734287,0.025,0.678417026937146,0.809661405223411,102
